Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
Ordoliberale Netzwerke und ihre Wirkmächtigkeit,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-10-10,2017-10-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,der(wirtschafts-)politische Einfluss des Ordoliberalismus
"Institutionenökonomik, Komplexitätsökonomik und Pluralismus",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2017-11-28,2017-11-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Ringvorlesung ""Denkschulen und aktuelle Kontroversen der Ökonomik"""
Profil der deutschsprachigen Volkswirtschaftslehre im internationalen Vergleich,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-06-29,2017-06-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Heimann-Colloquiums an der Universität Hamburg
"Selling the “economic truth” to the public. Herbert Giersch and Hans-Werner Sinn as “public intellectuals""",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-07-17,2017-07-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Language and Economics
"Netzwerke, Paradigmen, Attitüden - Der deutsche Sonderweg im Fokus",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-09-27,2016-09-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,FGW-Vernetzung und Projektpräsentation
Zur zentralen Rolle ordoliberaler Netzwerke in wirtschaftspolitischen Reformprozessen in Deutschland,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-03-17,2017-03-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Gründungskonferenz der Gesellschaft für Soziökomischen Bildung und Wissenschaft (GSÖBW)
Zur zentralen Rolle ordoliberaler Netzwerke in wirtschaftspolitischen Reformprozessen in Deutschland,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2017-03-17,2017-03-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Gründungskonferenz der Gesellschaft für Soziökomischen Bildung und Wissenschaft (GSÖBW)
On the many ways a model can be unrealistic – and still useful,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2017-10-12,2017-10-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,What to make of highly unrealistic models?
Bilder von ÖkonomInnen zur Finanzkrise 2008,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-05-25,2017-05-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Macht der Bilder, Macht der Sprache"
The political consequences of paradigmatic monism in economics. Evidences from a comparative analysis of German and US economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Beyer, Karl",,2017-10-20,2017-10-20,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Annual Conference European Ass. for Evol. Pol. Economy (EAEPE)
The political consequences of paradigmatic monism in economics. Evidences from a comparative analysis of German and US economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-10-20,2017-10-20,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Annual Conference European Ass. for Evol. Pol. Economy (EAEPE)
Ordoliberalismus als politisches Gestaltungswissen: ein deutscher Sonderweg,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-10-27,2017-10-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Bedingungen und politische Funktionen exakter Wissenschaften
"The complexity challenge: Systemist thinking, computational modeling, and pluralism in economics",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2016-12-12,2016-12-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Verleihung des WIWA Nachwuchspreises für Plurale Ökonomik
Verification and validation of agent-based models: Epistemological importance and theoretical challenges,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2017-05-19,2017-05-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Agent-based modeling in Ecological Economics - From toy model to verified tool of analysis
Netzwerke und Komplexität in der Ökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2016-05-10,2016-05-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Ringvorlesung ""Alternative Mikroökonomie"""
"Computations, Mechanisms, and Socio-Ecological Systems: A meta-theoretical appraisal of ABM",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2016-05-20,2016-05-20,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Agent-based modeling in Ecological Economics - A useful tool or just a fancy gadget?
Eine Einführung in die Institutionenökonomik(en),Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2016-11-21,2016-11-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Ringvorlesung ""Denkschulen und aktuelle Kontroversen der Ökonomik"""
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2017-11-10,2017-11-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,FMM Conference 2017
"Pluralismus, Komplexität und Mikroökonomik",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2015-01-13,2015-01-13,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,unbekannt/unknown
Workshop: Einführung in die Komplexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Elsner, Wolfram",2014-08-09,2014-08-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Pluralismus in der Ökonomik
Workshop: Einführung in die Komplexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Heinrich, Torsten",2014-08-09,2014-08-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Pluralismus in der Ökonomik
Workshop: Einführung in die Komplexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2014-08-09,2014-08-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Pluralismus in der Ökonomik
Komplexitätsökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2016-02-09,2016-02-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Ringvorlesung ""Denkschulen und aktuelle Kontroversen der Ökonomik"""
Still the Queens of Social Sciences. (Post-)Crisis power balances of “public economists” in Germany,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-06-11,2016-06-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Crisis and the Social Sciences: New Challenges and Perspectives
Diskursive und politische Wirkmächtigkeit ökonomischen Denkens,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-06-21,2016-06-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Ringvorlesung „Theorie, Modell, Wirklichkeit“ an der Universität Wien"
Zur zentralen Rolle ordoliberaler Netzwerke in wirtschaftspolitischen Reformprozessen in Deutschland,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-07-02,2016-07-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Jahrestagung des Ausschusses für Evolutorische Ökonomik im Verein für Socialpolitik an der Leibniz Universität Hannover
Zur zentralen Rolle ordoliberaler Netzwerke in wirtschaftspolitischen Reformprozessen in Deutschland,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2016-07-02,2016-07-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Jahrestagung des Ausschusses für Evolutorische Ökonomik im Verein für Socialpolitik an der Leibniz Universität Hannover
Discursive Shifts in the Transition from an “Active” to an “Activating” Labour Market Policy (LMP),unbekannt,Vortrag oder Präsentation,Vortragende*r,"Griesser, Markus",,2016-07-07,2016-07-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Interpretive Policy Analysis Conference
Discursive Shifts in the Transition from an “Active” to an “Activating” Labour Market Policy (LMP),unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-07-07,2016-07-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Interpretive Policy Analysis Conference
Ökonomisches Denken in der Krise?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-05-23,2016-05-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Wirtschaft, menschengerecht gedacht?"
Workshop: Think Tanks und Macht,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hubmann, Georg",,2016-06-03,2016-06-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE-Sommerakademie „Globalisierung und Konzernmacht“
Workshop: Think Tanks und Macht,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-06-03,2016-06-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE-Sommerakademie „Globalisierung und Konzernmacht“
Wirkungen ökonomischer Lehre,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-07-27,2016-07-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Treffen AG Ökonomie und Studierende
The role of democracy in the history of liberal (economic) thought,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-08-01,2016-08-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Summerschool Alternative Economic and Monetary Systems
Workshop Verteilung und Gerechtigkeit: Ökonomische und politphilosophische Perspektiven,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-09-07,2016-09-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Herbstakademie der Cusanus Hochschule
Why Economics is still Political Economy. Economists as enlightened experts and/or political proclaimers,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2019-04-15,2019-04-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,2. Vienna Conference on Pluralism in Economics
Exploring the trade narrative in the ‘top 5’ journals in economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2019-04-16,2019-04-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,2. Vienna Conference on Pluralism in Economics
Exploring the trade narrative in the ‘top 5’ journals in economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2019-04-16,2019-04-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,2. Vienna Conference on Pluralism in Economics
Market and society in Neo-liberalism and right-wing populism: A “reversed embeddedness”?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2019-05-04,2019-05-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,International Karl Polanyi Conference
Market and society in Neo-liberalism and right-wing populism: A “reversed embeddedness”?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2019-05-04,2019-05-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,International Karl Polanyi Conference
"Government policies and financial crises: On the mitigation, postponement and prevention of crisis within a Minsky-Veblen cycle",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2015-11-28,2015-11-28,,Institut für Volkswirtschaftslehre (+2 weitere),,MitarbeiterInnenseminar des Insituts für VWL der JKU
"Government policies and financial crises: On the mitigation, postponement and prevention of crisis within a Minsky-Veblen cycle",unbekannt,Vortrag oder Präsentation,Vortragende*r,,"Mohr, Franz X",2015-11-28,2015-11-28,,Institut für Volkswirtschaftslehre (+2 weitere),,MitarbeiterInnenseminar des Insituts für VWL der JKU
"Government policies and financial crises: On the mitigation, postponement and prevention of crisis within a Minsky-Veblen cycle",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Landesmann, Michael",,2015-11-28,2015-11-28,,Institut für Volkswirtschaftslehre (+2 weitere),,MitarbeiterInnenseminar des Insituts für VWL der JKU
"Government policies and financial crises: On the mitigation, postponement and prevention of crisis within a Minsky-Veblen cycle",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-11-28,2015-11-28,,Institut für Volkswirtschaftslehre (+2 weitere),,MitarbeiterInnenseminar des Insituts für VWL der JKU
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Aigner, Ernest",2024-09-04,2024-09-04,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2024-09-04,2024-09-04,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2024-09-04,2024-09-04,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Aigner, Ernest",2024-06-28,2024-06-28,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,36th Annual SASE Conference
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2024-06-28,2024-06-28,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,36th Annual SASE Conference
The social and epistemic structure of research on Socio-ecological Transformation. Challenging the economic mainstream?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2024-06-28,2024-06-28,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,36th Annual SASE Conference
Economic Preconditions and Impacts of the Mobility Transition in Austria's Railway Sector,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2024-09-06,2024-09-06,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
Economic Preconditions and Impacts of the Mobility Transition in Austria's Railway Sector,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Cserjan, Lukas",,2024-09-06,2024-09-06,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
Economic Preconditions and Impacts of the Mobility Transition in Austria's Railway Sector,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2024-09-06,2024-09-06,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
Economic Preconditions and Impacts of the Mobility Transition in Austria's Railway Sector,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2024-09-06,2024-09-06,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
Economic Preconditions and Impacts of the Mobility Transition in Austria's Railway Sector,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2024-09-06,2024-09-06,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE
Identifying and overcoming challenges for the Austrian mobility transition,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2024-09-04,2024-09-04,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE 2024
Identifying and overcoming challenges for the Austrian mobility transition,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2024-09-04,2024-09-04,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),,EAEPE 2024
