Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Think Tank Networks of German Neoliberalism. Power Structures in Economics and Economic Policies in Post-War Germany,"Pühringer, Stephan",2020,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Pühringer, S. (2020). Think Tank Networks of German Neoliberalism. Power Structures in Economics and Economic Policies in Post-War Germany. In Mirowski, Philip; Plehwe, Dieter; Slobodian, Quinn (Hrsg.), Nines Lives of Neoliberalism (S. 283-306). Verso Books. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Arbeitsmarktinstitutionen, Kapitalakkumulation und Arbeitslosigkeit in OECD-Ländern, Wirtschaft und Gesellschaft","Heimberger, Philipp",2019,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P. (2019). Arbeitsmarktinstitutionen, Kapitalakkumulation und Arbeitslosigkeit in OECD-Ländern, Wirtschaft und Gesellschaft. Wirtschaft und Gesellschaft, 45(1).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The power of economic models: The case of the EU's fiscal regulation framework,"Kapeller, Jakob (+1 weitere)",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P., Huber, J., & Kapeller, J. (2020). The power of economic models: The case of the EU's fiscal regulation framework. Socio-Economic Review, 18(2), 337-366. https://doi.org/10.1093/ser/mwz052",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
How much space for fiscal expansion? Germany falls victim to 'output gap nonsense’,"Heimberger, Philipp",2019,nicht begutachtet,Andere Beiträge,,,,"Heimberger, P. (2019, Dez). How much space for fiscal expansion? Germany falls victim to 'output gap nonsense’. https://wiiw.ac.at/how-much-space-for-fiscal-expansion-germany-falls-victim-to-output-gap-nonsense-n-412.html",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Deutungsrahmen der aktiven Arbeitsmarktpolitik: ein deutsch-österreichischer Vergleich von diskursiven Frames aus Anlass von 50 Jahren Arbeits(markt)förderungsgesetz,"Griesser, Markus",2019,begutachtet,Beitrag in Fachzeitschrift,,,,"Griesser, M. (2019). Deutungsrahmen der aktiven Arbeitsmarktpolitik: ein deutsch-österreichischer Vergleich von diskursiven Frames aus Anlass von 50 Jahren Arbeits(markt)förderungsgesetz. Momentum Quarterly, 8(3), 166-182. https://doi.org/10.15203/momentumquarterly.vol8.no3.p166-182",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Confict as a closure: A Kaleckian model of growth and distribution under fnancialization,,2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,96,ICAE Working Paper Series,"Raghavendra, S., & Piiroinen, P. T. (2019). Confict as a closure: A Kaleckian model of growth and distribution under fnancialization. (ICAE Working Paper Series; Nr. 96).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Vorschlag für eine Jobgarantie für Langzeitarbeitslose in Österreich,,2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,100,ICAE Working Paper Series,"Tamesberger, D., & Theurl, S. (2019). Vorschlag für eine Jobgarantie für Langzeitarbeitslose in Österreich. (ICAE Working Paper Series; Nr. 100).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Hans Albert und die Kritik am Modell-Platonismus in den Wirtschaftswissenschaften,"Ferschli, Benjamin (+1 weitere)",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., & Ferschli, B. (2019). Hans Albert und die Kritik am Modell-Platonismus in den Wirtschaftswissenschaften. In Franco, Giuseppe (Hrsg.), Handbuch Karl Popper (S. 733-749). Springer Fachbuch. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Pluralism in Economics: Epistemological Rationales and Pedagogical Implementation,"Kapeller, Jakob",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J. (2019). Pluralism in Economics: Epistemological Rationales and Pedagogical Implementation. In Decker, Samuel; Elsner, Wolfram; Flechtner, Svenja (Hrsg.), Advancing Pluralism in Teaching Economics (S. 55-77). Routledge. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Auftragsvergabe, Leistungsqualität und Kostenintensität im Schienenpersonenverkehr","Aistleitner, Matthias (+2 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,86,ICAE Working Paper Series,"Aistleitner, M., Grimm, C., & Kapeller, J. (2018). Auftragsvergabe, Leistungsqualität und Kostenintensität im Schienenpersonenverkehr. (ICAE Working Paper Series; Nr. 86).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Die Wirkmacht der ""Liebe zum Markt"": Zum anhaltenden Einfluss ordoliberaler ÖkonomInnenNetzwerke in Politik und Gesellschaft.","Pühringer, Stephan (+1 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,51,Working Paper Serie ök,"Pühringer, S., & Ötsch, W. (2019). Die Wirkmacht der ""Liebe zum Markt"": Zum anhaltenden Einfluss ordoliberaler ÖkonomInnenNetzwerke in Politik und Gesellschaft. (Working Paper Serie ök; Nr. 51).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The anti-democratic logic of right-wing Populism and neoliberal market-fundamentalism,"Pühringer, Stephan (+1 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,48,Working Paper Serie ök,"Ötsch, W., & Pühringer, S. (2019). The anti-democratic logic of right-wing Populism and neoliberal market-fundamentalism. (Working Paper Serie ök; Nr. 48).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das Gemeine an der Gemeinwohldebatte,"Hirte, Katrin",2019,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K., & Poppinga, O. (2019). Das Gemeine an der Gemeinwohldebatte. Wege für eine bäuerliche Zukunft – Zeitschrift der ÖBV/ Via Campesina Austria, 42(3 (358)), 7-9.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Antonino Palumbo and Alan Scott (2018): Remaking Market Society: A Critique of Social Theory and Political Economy in Neoliberal Times,"Beyer, Karl",2019,Nicht festgelegt,Beitrag in Fachzeitschrift,,,,"Beyer, K. (2019). Antonino Palumbo and Alan Scott (2018): Remaking Market Society: A Critique of Social Theory and Political Economy in Neoliberal Times. ÖZS - Österreichische Zeitschrift für Soziologie, 44(2), 249-252.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Folgen einer möglichen Abschaffung der Notstandshilfe in Oberösterreich,,2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,87,ICAE Working Paper Series,"Foissner, F. (2018). Folgen einer möglichen Abschaffung der Notstandshilfe in Oberösterreich. (ICAE Working Paper Series; Nr. 87).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Divided we stand? Professional consensus and political conflict in academic economics,"Pühringer, Stephan (+1 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,51,Working Paper Serie ök,"Beyer, K., & Pühringer, S. (2019). Divided we stand? Professional consensus and political conflict in academic economics. (Working Paper Serie ök; Nr. 51).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Exploring the trade narrative in top economics journals,"Aistleitner, Matthias (+1 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,97,ICAE Working Paper Series,"Aistleitner, M., & Pühringer, S. (2019). Exploring the trade narrative in top economics journals. (ICAE Working Paper Series; Nr. 97).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
A Comment on Fitting Pareto Tails to Complex Survey Data,"Kapeller, Jakob",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,102,ICAE Working Paper Series,"Wildauer, R., & Kapeller, J. (2019). A Comment on Fitting Pareto Tails to Complex Survey Data. (ICAE Working Paper Series; Nr. 102).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Holding Together what Belongs Together: A Strategy to Counteract Economic Polarisation in Europe,"Kapeller, Jakob (+2 weitere)",2019,nicht begutachtet,Andere Beiträge,,34,Policy Notes and Reports,"Kapeller, J., Gräbner, C., & Heimberger, P. (2019, Sep). Holding Together what Belongs Together: A Strategy to Counteract Economic Polarisation in Europe. https://wiiw.ac.at/holding-together-what-belongs-together-a-strategy-to-counteract-economic-polarisation-in-europe-dlp-5026.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das dritte gossensche Gesetz,"Hirte, Katrin",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K. (2019). Das dritte gossensche Gesetz. In Hochmann, Lars; Graupe, Silja; Korbun, Thomas; Panther, Stephan; Schneidewind, Uwe (Hrsg.), Möglichkeits¬wissen¬schaften. Ökonomie mit Möglichkeitssinn (S. 133-176). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Was ist eine Krise? Wie ökonomische Theorien Wahrnehmung formen,"Pühringer, Stephan (+1 weitere)",2018,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Ötsch, W., & Pühringer, S. (2018). Was ist eine Krise? Wie ökonomische Theorien Wahrnehmung formen. Kurswechsel, (4/2018), 7-17.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Mythos Markt. Mythos Neoklassik. Das Elend des Marktfundamentalismus,"Ötsch, Walter",2018,nicht begutachtet,Buch,,,Kritische Studien zu Markt und Gesellschaft,"Ötsch, W. (2018). Mythos Markt. Mythos Neoklassik. Das Elend des Marktfundamentalismus. (Kritische Studien zu Markt und Gesellschaft). Metropolis.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Export performance, price comeptitiveness and technology: Revisiting the Kaldor paradox","Kapeller, Jakob (+2 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,88,ICAE Working Paper Series,"Gräbner, C., Heimberger, P., & Kapeller, J. (2019). Export performance, price comeptitiveness and technology: Revisiting the Kaldor paradox. (ICAE Working Paper Series; Nr. 88).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The dynamics of and on networks: an introduction,"Gräbner-Radkowitsch, Claudius",2018,begutachtet,Beitrag in Fachzeitschrift,,,,"Gräbner, C., Heinrich, T., Kudic, M., & Vermeulen, B. (2018). The dynamics of and on networks: an introduction. International Journal of Computational Economics and Econometrics, 8(3/4), 229-241.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Economic Polarisation in Europe: Causes and Policy Options,"Kapeller, Jakob (+2 weitere)",2019,nicht begutachtet,Andere Beiträge,,440,Research Report,"Gräbner, C., Kapeller, J., & Heimberger, P. (2019, Jul). Economic Polarisation in Europe: Causes and Policy Options. https://wiiw.ac.at/economic-polarisation-in-europe-causes-and-options-for-action-dlp-5022.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Unrealistic models and how to identify them: on accounts of model realisticness,"Gräbner-Radkowitsch, Claudius",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,90,ICAE Working Paper Series,"Gräbner, C. (2019). Unrealistic models and how to identify them: on accounts of model realisticness. (ICAE Working Paper Series; Nr. 90).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Defining institutions - A review and a synthesis,"Gräbner-Radkowitsch, Claudius",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,89,ICAE Working Paper Series,"Gräbner, C., & Ghorbani, A. (2019). Defining institutions - A review and a synthesis. (ICAE Working Paper Series; Nr. 89).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Marktfundamentalismus als Kollektivgedanke. Mises und die Ordoliberalen,"Pühringer, Stephan (+1 weitere)",2019,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W., & Pühringer, S. (2019). Marktfundamentalismus als Kollektivgedanke. Mises und die Ordoliberalen. In Richard Sturn, Nenad Pantelic (Hrsg.), Dem Markt vertrauen? Beiträge zur Tiefenstruktur neoliberaler Regulierung. (S. 185-210). Metropolis. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Was ist eine Krise? Ein Rückblick auf die Wirtschafts- und Finanzkrisen 2008 und 2010,"Pühringer, Stephan (+1 weitere)",2019,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Ötsch, W., & Pühringer, S. (2019). Was ist eine Krise? Ein Rückblick auf die Wirtschafts- und Finanzkrisen 2008 und 2010. Blickpunkt WISO.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
From the ʻplanning euphoriaʼ to the ʻbitter economic truthʼ: The Transmission of economic ideas into German Labour Market Policies in the 1960s and 2000s,"Pühringer, Stephan (+1 weitere)",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Pühringer, S., & Griesser, M. (2020). From the ʻplanning euphoriaʼ to the ʻbitter economic truthʼ: The Transmission of economic ideas into German Labour Market Policies in the 1960s and 2000s. Critical Discourse Studies, 17(5), 476-493. https://doi.org/10.1080/17405904.2019.1681283",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wirtschaftliche Polarisierung in Europa: Ursachen und Handlungsoptionen,"Kapeller, Jakob (+2 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,98,ICAE Working Paper Series,"Kapeller, J., Gräbner, C., & Heimberger, P. (2019). Wirtschaftliche Polarisierung in Europa: Ursachen und Handlungsoptionen. (ICAE Working Paper Series; Nr. 98).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Budgetsemielastizität und ihre Auswirkungen auf Verschuldungsspielräume im Rahmen der Schuldenbremse,"Schütz, Bernhard (+1 weitere)",2022,begutachtet,Beitrag in Fachzeitschrift,,,,"Heimberger, P., & Schütz, B. (2022). Die Budgetsemielastizität und ihre Auswirkungen auf Verschuldungsspielräume im Rahmen der Schuldenbremse. Wirtschaftsdienst, 102(11), 834-837. https://doi.org/10.1007/s10273-022-3325-y",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The heterogeneous relationship between income and inequality: a panel co-integration approach,"Gräbner-Radkowitsch, Claudius",2019,begutachtet,Beitrag in Fachzeitschrift,,,,"Flechtner, S., & Gräbner, C. (2019). The heterogeneous relationship between income and inequality: a panel co-integration approach. Economics Bulletin, 39(4), 2540–2549.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
What economics education is missing: The real world,"Bäuerle, Lukas (+1 weitere)",2018,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,37,Working Paper Serie ök,"Pühringer, S., & Bäuerle, L. (2018). What economics education is missing: The real world. (Working Paper Serie ök; Nr. 37).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Krise als Katalysator für den Aufschwung des Rechtspopulismus,"Pühringer, Stephan",2018,nicht begutachtet,Andere Beiträge,Krise & Konflikt,47,Bildpunkt,"Pühringer, S. (2018, Jul). Die Krise als Katalysator für den Aufschwung des Rechtspopulismus. https://igbildendekunst.at/bildpunkt_/die-krise-als-katalysator-fuer-den-aufschwung-des-rechtspopulismus/",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wirtschaftliche Polarisierung in Europa: Ursachen und Handlungsoptionen,"Kapeller, Jakob (+2 weitere)",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Kapeller, J., Gräbner, C., & Heimberger, P. (2019). Wirtschaftliche Polarisierung in Europa: Ursachen und Handlungsoptionen. Friedrich-Ebert Stiftung.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Beyond equilibrium: revisiting two-sided markets from an agent-based modelling perspective,"Gräbner-Radkowitsch, Claudius",2019,begutachtet,Beitrag in Fachzeitschrift,,,,"Heinrich, T., & Gräbner, C. (2019). Beyond equilibrium: revisiting two-sided markets from an agent-based modelling perspective. International Journal of Computational Economics and Econometrics, 9(3), 153-180. https://doi.org/10.1504/ijcee.2019.100558",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Freiheitliche Flügelkämpfe? (Historische) Konfliktlinien in der FPÖ,"Pühringer, Stephan (+1 weitere)",2018,begutachtet,Beitrag in Fachzeitschrift,,,,"Beyer, K., & Pühringer, S. (2018). Freiheitliche Flügelkämpfe? (Historische) Konfliktlinien in der FPÖ. Kurswechsel, (3), 19-27.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Krisenbilder von ÖkonomInnen in der Presse,"Pühringer, Stephan",2018,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Pühringer, S., & Egger, J. (2018). Krisenbilder von ÖkonomInnen in der Presse. In Walter Ötsch; Silja Graupe (Hrsg.), Macht der Bilder, Macht der Sprache (S. 75-86)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
