Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-10-23,2014-10-23
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-10-21,2014-10-21
Trade narratives of economists: A CDA approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-10-21,2021-10-21
Handelsnarrative in der ökonomischen Debatte,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-11-30,2021-11-30
"""Für die „Leistungsträger“ und „uns Österreicher“: Eine Mediendiskursanalyse zu Sozialreformen der ÖVP/FPÖ-Regierung 2017-2019 in Österreich""",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2021-10-16,2021-10-16
Neoliberale Denkmuster als Basis des degressiven Arbeitslosengeldes,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-09-18,2021-09-18
Power structures in economics and their impact on trade policies: An SSE approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+1 weitere)",,2021-10-06,2021-10-06
Top economists as free-trade cheerleaders in the public,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+1 weitere)",,2021-09-03,2021-09-03
Theorizing Competition: An Interdisciplinary Framework,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+2 weitere)","Rogojanu, Ana (+1 weitere)",2021-07-04,2021-07-04
Conversations for the Future of Europe,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-05-19,2021-05-19
Past and future of pluralism in economics,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-01-29,2021-01-29
Pandemic pushes polarization: Macroeconomic divergence in the Eurozone,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-04-23,2021-04-23
Past and future of pluralism in economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2020-11-23,2020-11-23
Finanzialisierung und globale Ungleichheit,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2020-12-18,2020-12-18
Presente y futuro del desarrollo económico desde una perspectiva Latinoamericana,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob","Pezzini, Mario (+1 weitere)",2020-10-02,2020-10-02
Which are the most inspiring economic questions of our time?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2020-11-11,2020-11-11
Pluralism in economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-10-07,2021-10-07
What is heterodox economics?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-10-27,2021-10-27
Author Meets Critics: “Intangible Flow Theory in Economics: Human Participation in Economic and Societal Production”,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-07-05,2021-07-05
Heterodox Economics and Economic Criticism,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-07-08,2021-07-08
Warum braucht es Pluralismus in den Wirtschaftswissenschaften?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Strunk, Birte (+1 weitere)",,2021-06-09,2021-06-09
Social Limits to Growth,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2021-06-10,2021-06-10
"A European Wealth Tax? Context, methods, revenues",Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-09-28,2021-09-28
Economic Polarization in Europe,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-10-09,2021-10-09
Tracing the invisible rich,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-08-25,2021-08-25
A European Wealth Tax,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-09-07,2021-09-07
The Emergence of Debt and Secular Stagnation in an unequal Society: A stock-flow consistent agent-based Approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+2 weitere)",,2021-09-03,2021-09-03
Networks of the super-rich in Austria,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+2 weitere)",,2022-10-10,2022-10-10
Wie denken zukünftige Ökonom_innen?,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-09-27,2016-09-27
Pluralismus in der Ökonomie? Wissenschaftstheoretische Grundlagen und wissenschaftspolitische Konsequenzen,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-10-26,2016-10-26
The “Performative Footprint” of economists political and societal impact of post-war German economists,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-11-04,2016-11-04
Strategien einer permanenten neoliberalen Diskurshegemonie?,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Liedl, Bernd",2016-10-14,2016-10-14
Entstehen und Vergehen der deutschen Heterodoxen ab den 1970ern,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2016-02-11,2016-02-11
Zeitlichkeit und Tauschfähigkeit bei Rosa Luxemburg und Joseph Alois Schumpeter,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2016-09-24,2016-09-24
"Netzwerke, Paradigmen, Attitüden - Der deutsche Sonderweg im Fokus",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Aigner, Ernest",2016-09-27,2016-09-27
Podiumsdiskussion: Was kommt nach der Krise,Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-09-19,2016-09-19
Komplexitätsökonomik,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-06-12,2017-06-12
The industrial policy research discourse (2000-2020) – a topic modelling approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2021-11-22,2021-11-22
Ordoliberale Netzwerke und ihre Wirkmächtigkeit,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-10-10,2017-10-10
"Institutionenökonomik, Komplexitätsökonomik und Pluralismus",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-11-28,2017-11-28
Profil der deutschsprachigen Volkswirtschaftslehre im internationalen Vergleich,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-06-29,2017-06-29
"Selling the “economic truth” to the public. Herbert Giersch and Hans-Werner Sinn as “public intellectuals""",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-07-17,2017-07-17
"Netzwerke, Paradigmen, Attitüden - Der deutsche Sonderweg im Fokus",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-09-27,2016-09-27
Zur zentralen Rolle ordoliberaler Netzwerke in wirtschaftspolitischen Reformprozessen in Deutschland,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2017-03-17,2017-03-17
On the many ways a model can be unrealistic – and still useful,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-10-12,2017-10-12
Bilder von ÖkonomInnen zur Finanzkrise 2008,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-05-25,2017-05-25
The political consequences of paradigmatic monism in economics. Evidences from a comparative analysis of German and US economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2017-10-20,2017-10-20
Ordoliberalismus als politisches Gestaltungswissen: ein deutscher Sonderweg,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-10-27,2017-10-27
Economists' Narratives and Metaphors of the Financial Crisis,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-11-30,2017-11-30
Das europäische Schattenbankensystem – Typologisierung und Bewertung regulatorischer Initiativen auf europäischer Ebene,Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Bräutigam, Lars (+1 weitere)",,2016-05-12,2016-05-12
"The complexity challenge: Systemist thinking, computational modeling, and pluralism in economics",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2016-12-12,2016-12-12
Verification and validation of agent-based models: Epistemological importance and theoretical challenges,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-05-19,2017-05-19
Netzwerke und Komplexität in der Ökonomik,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2016-05-10,2016-05-10
"Computations, Mechanisms, and Socio-Ecological Systems: A meta-theoretical appraisal of ABM",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2016-05-20,2016-05-20
Eine Einführung in die Institutionenökonomik(en),Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2016-11-21,2016-11-21
The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2017-11-10,2017-11-10
"Pluralismus, Komplexität und Mikroökonomik",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2015-01-13,2015-01-13
Workshop: Einführung in die Komplexitätsökonomik,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten (+1 weitere)",2014-08-09,2014-08-09
Komplexitätsökonomik,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2016-02-09,2016-02-09
Still the Queens of Social Sciences. (Post-)Crisis power balances of “public economists” in Germany,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-06-11,2016-06-11
Diskursive und politische Wirkmächtigkeit ökonomischen Denkens,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-06-21,2016-06-21
Zur zentralen Rolle ordoliberaler Netzwerke in wirtschaftspolitischen Reformprozessen in Deutschland,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2016-07-02,2016-07-02
Discursive Shifts in the Transition from an “Active” to an “Activating” Labour Market Policy (LMP),Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2016-07-07,2016-07-07
Ökonomisches Denken in der Krise?,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-05-23,2016-05-23
Workshop: Think Tanks und Macht,Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hubmann, Georg (+1 weitere)",,2016-06-03,2016-06-03
Wirkungen ökonomischer Lehre,Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-07-27,2016-07-27
The role of democracy in the history of liberal (economic) thought,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-08-01,2016-08-01
Workshop Verteilung und Gerechtigkeit: Ökonomische und politphilosophische Perspektiven,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2016-09-07,2016-09-07
Why Economics is still Political Economy. Economists as enlightened experts and/or political proclaimers,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-04-15,2019-04-15
Exploring the trade narrative in the ‘top 5’ journals in economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+1 weitere)",,2019-04-16,2019-04-16
Market and society in Neo-liberalism and right-wing populism: A “reversed embeddedness”?,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2019-05-04,2019-05-04
Machtstrukturen Neoliberaler Think Tanks in Österreich,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-04-30,2019-04-30
"Government policies and financial crises: On the mitigation, postponement and prevention of crisis within a Minsky-Veblen cycle",Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+2 weitere)","Mohr, Franz X",2015-11-28,2015-11-28
